"key","value","display_string","unit","source_script","note"
"hotspot_closed_park_restroom_m","Gorman Playground=126; Gun Hill Playground=47","Gorman Playground 126 m; Gun Hill Playground 47 m","metres from the largest hot spot","R/C5_hotspot_table.R","listed Parks restrooms beside the largest hot spot, closed at 9pm (East Elmhurst, Williamsbridge-Olinville); share of hot-spot complaints filed 6pm-6am: 65%, 76%"
"decay_unacceptable_priority_vs_elsewhere","in_29=15; elsewhere=72; in_29=116; elsewhere=507","15 of 72 (21%) in the 29 vs 116 of 507 (23%) elsewhere","inspected comfort stations with >= 1 unacceptable rating, Jan-Jun 2026","R/C6_decay_in_priority_areas.R","inspection-level fail rate 17.6% in the 29 vs 20.4% elsewhere"
"decay_closed_priority_vs_elsewhere","in_29=14; elsewhere=100; in_29=66; elsewhere=636","14 of 100 (14%) in the 29 vs 66 of 636 (10%) elsewhere","Parks comfort stations under long-term closure","R/C6_decay_in_priority_areas.R","6 of the 14 in the 29 closed for repairs"
"register_not_operational_priority_vs_elsewhere","in_29=10; elsewhere=155; in_29=81; elsewhere=911","10 of 155 (6%) in the 29 vs 81 of 911 (9%) elsewhere","register restrooms not operational","R/C6_decay_in_priority_areas.R",""
"station_screen_oos_spearman","0.467385","0.467","Spearman rho (mean, 200 splits)","R/C3_station_bridge.R","hand-weighted station screen (60 entries / 25 restroom distance / 15 none within 500 m), 424 complexes; worse than the ridership model in 100% of splits"
"station_ridership_oos_spearman","0.62379","0.624","Spearman rho (mean, 200 splits)","R/C3_station_bridge.R","station ridership alone, no fitting"
"station_screen_worse_share","1","100%","share of splits","R/C3_station_bridge.R","splits where the screen ranks stations worse than ridership"
"station_distance_irr","0.943934; 0.862072; 1.03357","0.94 [0.86–1.03]","IRR per doubling of distance to nearest listed restroom","R/C3_station_bridge.R","400 m, NB + ridership + borough; p = 0.21. With catchment population and area: 0.98 [0.90–1.07], p = 0.71"
"supply_tests_open9pm_irr","1.22225; 0.914242; 1.63403","1.22 [0.91–1.63]","IRR, restrooms open at 9pm in the NTA","R/T1_mechanism_tests.R (A)","p = 0.18; added to the ranking model; CD-clustered CI"
"supply_tests_park_share_irr","0.866596; 0.513157; 1.46347","0.87 [0.51–1.46]","IRR, share of restrooms in parks","R/T1_mechanism_tests.R (A)","p = 0.59"
"supply_tests_cov9pm_irr","1.0707; 0.976125; 1.17443","1.07 [0.98–1.17]","IRR per 10 pp of 9pm walk coverage","R/T1_mechanism_tests.R (A)","p = 0.15"
"supply_tests_best_oos_gain","0.003756","+0.004","change in mean OOS Spearman","R/T1_mechanism_tests.R (A)","best of 14 supply specifications vs the base model"
"evening_collapse_or","0.999651; 0.920896; 1.08514","1.00 [0.92–1.09]","odds ratio per 10 pp of 3pm-to-9pm coverage lost","R/T1_mechanism_tests.R (B)","does a bigger evening collapse mean a more evening-weighted complaint mix? No"
"urination_vs_dsny_evening","1.439; 1.882","1.4–1.9×","urination share / DSNY dirty-condition share, 6pm-midnight","R/T1_mechanism_tests.R (B)","evening share 29.9% vs 18.3% for DSNY"
"urination_vs_dsny_overnight","1.431; 2.31","1.4–2.3×","urination share / DSNY share, midnight-5am","R/T1_mechanism_tests.R (B)","overnight, when 8 restrooms are open, is as elevated as the evening"
"hours_breakeven_vs_modular","0.633532","63%","share of a modular unit's effect","R/T1_mechanism_tests.R (C)","longer hours are cheaper per complaint removed only above this relative effectiveness"
"hours_breakeven_vs_reconstruct","0.458943","46%","share of a reconstruction's effect","R/T1_mechanism_tests.R (C)",""
"east_harlem_hours_min_effect","0.353044","35%","share of the area's excess","R/T1_mechanism_tests.R (C)","East Harlem (North) hours stays first only if it removes this share (3.5 of 9.8 excess a year)"
"median_excess_per_area_year","1.82016","1.8","excess complaints a year","R/T1_mechanism_tests.R (C)","median over the 27 costed areas"
"hours_25pct_first","Astoria (East)-Woodside (North)","Astoria (East)-Woodside (North)","area ranked first","R/T1_mechanism_tests.R (C)","if hours are 25% as effective as a new unit"
"capital_years_reconstruct","4.54346","4.5 years","median years, design start -> completion","R/T1_mechanism_tests.R (D) / A7 classification","n = 70 completed of 108; IQR 2.4–5.5"
"capital_years_build_new","7.4141","7.4 years","median years, design start -> completion","R/T1_mechanism_tests.R (D) / A7 classification","n = 38 completed of 68; IQR 5.9–9.3; Wilcoxon p = 2.4e-09"
"capital_years_n","70; 38","70 and 38","completed projects","R/T1_mechanism_tests.R (D)",""
"capital_years_wilcoxon_p","0.00000000240865","p < 0.001","p-value","R/T1_mechanism_tests.R (D)","2.4e-09"
"capital_need_or","1.6279; 0.952159; 2.78321; 0.074939","1.63, p = 0.075","odds ratio","R/T1_mechanism_tests.R (E) / R/40_logistic.R","need never significant: p 0.07–0.19 across 6 specifications"
"capital_restroom_count_or","4.72068; 2.08571; 10.6845; 0.000196","4.72","odds ratio per log restroom count","R/T1_mechanism_tests.R (E)","p = 0.0002; parkland then 1.24, p = 0.19"
"pilot_mde_311","0.73155","73%","smallest detectable reduction","R/T1_F_pilot_power.R","311 filed 7am-10pm within 400 m of the 17 sites: 20 events in the pre-year across all 17; 7 sites with none"
"pilot_mde_summons","0.441694","44%","smallest detectable reduction","R/T1_F_pilot_power.R","urination summonses within 400 m; 40% with the alcohol-summons placebo"
"pilot_mde_summons_placebo","0.404319","40%","smallest detectable reduction","R/T1_F_pilot_power.R","urination summonses within 400 m, differenced against alcohol summonses (placebo)"
"pilot_pre_events_311","20","20","complaints in a year, all 17 catchments","R/T1_F_pilot_power.R","400 m, filed 7am-10pm"
"peer_per100k_core","Paris=27.2; Zurich=24.8; San Francisco=24.7; Vancouver=15.4; Hong Kong=10.1; Toronto=9.7; Berlin=9.2; New York City=9","Paris 27.2; Zurich 24.8; San Francisco 24.7; Vancouver 15.4; Hong Kong 10.1; Toronto 9.7; Berlin 9.2; New York City 9.0","public toilets per 100,000 residents, core rule","R/E1_peer_city_per_capita.R","CORE = government-operated or contracted, open to all without purchase, dedicated public toilet (street / park / plaza / transit), listed as operating. Civic-building toilets, portables and urinals are in BROAD; access-scheme businesses are counted separately."
"peer_nyc_per100k","9","9.0","per 100,000 residents, core rule","R/E1_peer_city_per_capita.R","763 park, plaza and transit restrooms / 8,483,844 residents; the register-wide restrooms_per_100k_now is NOT comparable"
"peer_nyc_rank","8","8 of 8","rank on the core rule","R/E1_peer_city_per_capita.R","cities with a usable official list; NYC is within 2-12% of Toronto, Berlin and Hong Kong's FEHD list"
"peer_cluster_gap","0.0222222; 0.122222","2–12%","above NYC's core rate","R/E1_peer_city_per_capita.R","Toronto, Berlin and Hong Kong's FEHD list relative to NYC 9.0"
"peer_nyc_share_of_top3","0.352021","0.35","ratio","R/E1_peer_city_per_capita.R","NYC vs the mean of Paris, Zurich, San Francisco: 'about a third'"
"peer_hk_with_park_toilets","18.4258","18.4","per 100,000 residents","R/E1_peer_city_per_capita.R","FEHD 757 + ~630 LCSD park/sports-venue toilets (LegCo 2019, approximate)"
"external.ll58_target","2120","2,120","restrooms by 2035","https://intro.nyc/local-laws/2025-58","Local Law 58 of 2025; at least half publicly owned"
"external.ll58_enacted","2025-05-12","May 2025","date","https://intro.nyc/local-laws/2025-58","passed 10 Apr 2025, returned unsigned 12 May 2025. NOT July 2025 (that is LL92)"
"external.ll58_strategy_due","2026-11-01","1 Nov 2026","date","https://pix11.com/news/local-news/deadline-delayed-for-plan-to-expand-nyc-public-bathrooms/","originally due 1 Sep 2026; deputy mayor's letter Aug 2026"
"external.council_dashboard_operational","973","973","facilities","https://council.nyc.gov/data/public-restroom-analysis/","Council dashboard (Dec 2025). Our register says 975"
"external.council_dashboard_24h","8","8","facilities open 24/7","https://council.nyc.gov/data/public-restroom-analysis/","agrees with our derived open_24h"
"external.council_dashboard_5min_walk","0.4942","49.42%","share of residents","https://council.nyc.gov/data/public-restroom-analysis/","method undisclosed; our 53.45% (R/31) is NOT comparable (WORKLOG: comparison withdrawn). Cite only with that caveat"
"external.council_audit_closed","36; 337","36 of 337","rooms closed in posted hours","https://council.nyc.gov/press/wp-content/uploads/sites/56/2025/12/OID_Restrooms-REPORT_121625-v4.pdf","Council OID 'Good to Go?' audit, Aug-Sep 2025, stratified random; all 36 in parks"
"external.council_audit_missing_necessity","129; 301","129 of 301","open rooms missing a basic necessity","https://council.nyc.gov/press/wp-content/uploads/sites/56/2025/12/OID_Restrooms-REPORT_121625-v4.pdf",""
"external.pilot","units=17; cost=4000000; years=1; hours=7am-10pm; hours_per_day=15; sites_published=2026-09-16; sites_midtown=0","17 units, $4M, one year, 7am–10pm","","https://www.nyc.gov/mayors-office/news/2026/09/mayor-mamdani-brings-17-new-public-bathrooms-to-neighborhoods-ac","Throne Labs via NYCEDC; self-contained units, no hookups; operator cleans and maintains (service contract). Queens sites (western Queens): Astoria Blvd S & 31 St, Northern Blvd & 31 St, Northern Blvd & 54 St, 34 Ave & 64 St; Manhattan: Cooper Sq, Malcolm X Plaza, Delancey & Suffolk, Plaza Alianza Dominicana — none in Midtown. Which NTA each site falls in is derived (pilot_in_six, pilot_in_29, pilot_neither), not typed here"
"external.ll114","2022-11-28","Local Law 114 of 2022","law","https://intro.nyc/local-laws/2022-114","report identifying at least one feasible bathroom location per ZIP code area; no funding attached"
"external.ll92","2025-07","Local Law 92 of 2025","law","https://council.nyc.gov/press/2025/07/12/2922/","each bathroom strategy report must update all active/planned capital projects at the LL114 sites"
"external.amato_2022","change_per_week=-12.47; p=0.0002; installations=13","-12.47 reports/week (p = 0.0002)","311 feces reports per week within 500 m","https://pmc.ncbi.nlm.nih.gov/articles/PMC9441075/","Amato et al., BMC Public Health 2022; San Francisco Pit Stop, 13 new-restroom installations, 2014-2020; not NYC"
"external.amato_2022_hours","change_per_week=12; p=0.0016; interventions=3","+12.00 reports/week (p = 0.0016)","311 feces reports per week","https://pmc.ncbi.nlm.nih.gov/articles/PMC9441075/","Amato et al. 2022 Table 1: 3 Pit Stops that expanded service hours (to 24 h). The authors call it unexpected and do not settle why; site selection (busiest sites got longer hours) is a possible confound, our reading, not the authors'"
"external.privy_by_the_bay_2025","effect appears to be small","'the effect appears to be small'","quote","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0327795","PLOS ONE, 14 Aug 2025, SF 311 waste reports 2009-2022; qualifies Amato 2022"
"external.restroom_register_last_updated","2025-06-27","27 June 2025","date","https://data.cityofnewyork.us/d/i7jb-7jku","rowsUpdatedAt of the register; the catalogue claims Nov 2025"
"external.peer_cities","san_francisco=https://sfpublicworks.org/pitstop; washington_dc=https://dcpublicrestrooms.org/wp-content/uploads/2023/12/Public-Restroom-Pilot-Program.pdf; paris=https://opendata.paris.fr/explore/dataset/sanisettesparis/","SF, DC, Paris","links","see value","each link opened 23 Sep 2026; Tokyo and London dropped 24 Sep (connected to no claim)"
"external.dc_act_25_172","monthly reports on use (by date and time) and misuse","D.C. Act 25-172","statute","https://dcpublicrestrooms.org/wp-content/uploads/2023/12/Public-Restroom-Pilot-Program.pdf","Washington DC public restroom pilot statute: the operator reports use and misuse monthly. Precedent for the operator data spec"
"external.paris_open_toilet_dataset","sanisettesparis","Paris open toilet dataset","dataset","https://opendata.paris.fr/explore/dataset/sanisettesparis/","one open list of every public toilet with its status (en service / hors service) and opening hours; shows the hours-data gap is fixable"
"external.modular_portland_loo","pilot_budget=6000000; units=5; per_unit_budget=1200000; per_site_reported=1000000; unit_only=185000","$6M for 5 units = $1.2M each","","https://www.nyc.gov/mayors-office/news/2025/07/mayor-adams-nyc-parks-commissioner-rodriguez-rosa-continue-we-outside-summer-announcing","2026-09-23: NYC Mayor's Office / Parks, 1 Jul 2025: '$6 million pilot' for five Portland Loos, 'constructed for only $1 million per location, plus some additional site-specific costs'; traditional build 'at least $3.5 million'. Unit alone ~$185k, ~$815k utilities/site work (amNY, https://www.amny.com/news/modular-restrooms-nyc-parks-million-install/). Our $1.2M = pilot budget per unit; outturn ~$1.0M+ is the low case"
"external.ddc_build","cost=19300000; buildings=5","$19.3M for 5 buildings","","https://www.nyc.gov/site/ddc/about/press-releases/2026/pr-062626-MurphyBros.page","announced 26 Jun 2026; independent check on build_new_median"
